Seq1	Seq3	100.000	13	0	0	131	143	137	149	0.002	26.3
Seq2	Seq3	100.000	13	0	0	131	143	137	149	0.002	26.3
Seq3	Seq3	100.000	372	0	0	1	372	1	372	0.0	737
Seq4	Seq3	94.118	34	2	0	262	295	265	298	2.83e-11	52.0
Seq5	Seq3	100.000	45	0	0	321	365	324	368	1.31e-22	89.7
Seq6	Seq3	100.000	13	0	0	131	143	137	149	0.002	26.3
Seq7	Seq3	90.878	296	24	1	1	293	1	296	9.60e-107	369
Seq8	Seq3	97.010	301	9	0	1	301	1	301	6.91e-154	525
Seq9	Seq3	96.226	318	10	2	1	316	1	318	4.26e-152	519
Seq10	Seq3	94.286	35	2	0	323	357	338	372	6.97e-12	54.0
Seq11	Seq3	92.857	28	2	0	268	295	271	298	1.05e-07	40.1
Seq12	Seq3	85.570	298	43	0	1	298	1	298	6.08e-71	250
Seq13	Seq3	98.986	296	3	0	1	296	1	296	3.04e-165	563
Seq14	Seq3	100.000	17	0	0	295	311	356	372	5.62e-06	34.2
Seq15	Seq3	100.000	43	0	0	323	365	326	368	2.04e-21	85.7
Seq16	Seq3	94.118	34	2	0	262	295	265	298	3.02e-11	52.0
Seq17	Seq3	92.593	297	16	1	1	291	1	297	4.35e-121	416
Seq18	Seq3	95.238	21	1	0	120	140	127	147	6.34e-06	34.2
Seq19	Seq3	100.000	28	0	0	268	295	271	298	1.83e-12	56.0
Seq20	Seq3	96.154	26	1	0	267	292	270	295	6.89e-09	44.1
Seq21	Seq3	87.640	89	11	0	1	89	1	89	1.28e-22	89.7
Seq22	Seq3	95.455	22	1	0	268	289	271	292	1.71e-06	36.2
Seq23	Seq3	84.247	292	43	1	1	289	1	292	5.19e-59	210
Seq24	Seq3	89.474	38	4	0	110	147	110	147	6.83e-09	44.1
Seq25	Seq3	94.118	34	2	0	262	295	265	298	3.02e-11	52.0
Seq26	Seq3	94.286	35	2	0	353	387	338	372	7.57e-12	54.0
Seq27	Seq3	91.429	35	3	0	338	372	338	372	1.77e-09	46.1
Seq28	Seq3	100.000	43	0	0	332	374	326	368	2.09e-21	85.7
Seq29	Seq3	93.266	297	20	0	1	297	1	297	2.99e-125	430
Seq30	Seq3	94.286	35	2	0	332	366	338	372	7.15e-12	54.0
Seq31	Seq3	89.474	38	4	0	110	147	110	147	6.83e-09	44.1
Seq32	Seq3	89.262	298	26	1	1	292	1	298	8.37e-98	339
Seq33	Seq3	97.619	42	1	0	324	365	327	368	1.97e-18	75.8
Seq34	Seq3	99.731	372	1	0	1	372	1	372	0.0	729
Seq35	Seq3	100.000	42	0	0	321	362	327	368	8.00e-21	83.8
Seq36	Seq3	98.658	298	4	0	1	298	1	298	4.58e-164	559
Seq37	Seq3	100.000	43	0	0	317	359	326	368	2.01e-21	85.7
Seq38	Seq3	100.000	13	0	0	131	143	137	149	0.002	26.3
Seq39	Seq3	90.444	293	28	0	1	293	1	293	9.10e-104	359
Seq40	Seq3	100.000	28	0	0	268	295	271	298	1.81e-12	56.0
Seq41	Seq3	100.000	29	0	0	267	295	270	298	4.77e-13	58.0
Seq42	Seq3	98.649	296	4	0	1	296	1	296	7.41e-163	555
Seq43	Seq3	96.000	25	1	0	267	291	270	294	2.63e-08	42.1
Seq44	Seq3	91.429	35	3	0	323	357	338	372	1.70e-09	46.1
Seq45	Seq3	90.426	282	21	1	15	290	15	296	3.43e-100	347
Seq46	Seq3	88.255	298	32	1	1	295	1	298	7.86e-89	309
Seq47	Seq3	100.000	42	0	0	325	366	327	368	8.09e-21	83.8
Seq48	Seq3	100.000	43	0	0	314	356	326	368	1.99e-21	85.7
Seq49	Seq3	100.000	25	0	0	266	290	270	294	1.09e-10	50.1
Seq50	Seq3	88.235	34	4	0	330	363	339	372	1.67e-06	36.2
Seq51	Seq3	94.118	34	2	0	262	295	265	298	2.78e-11	52.0
Seq52	Seq3	100.000	13	0	0	131	143	137	149	0.002	26.3
Seq53	Seq3	100.000	27	0	0	267	293	270	296	7.57e-12	54.0
Seq54	Seq3	100.000	43	0	0	311	353	326	368	1.97e-21	85.7
Seq55	Seq3	94.286	35	2	0	335	369	338	372	7.21e-12	54.0
Seq56	Seq3	100.000	371	0	0	2	372	2	372	0.0	735
Seq57	Seq3	94.286	35	2	0	338	372	338	372	7.27e-12	54.0
Seq58	Seq3	98.649	296	4	0	1	296	1	296	7.41e-163	555
Seq59	Seq3	87.500	40	5	0	102	141	108	147	1.07e-07	40.1
Seq60	Seq3	94.286	35	2	0	332	366	338	372	7.15e-12	54.0
Seq61	Seq3	100.000	43	0	0	335	377	326	368	2.11e-21	85.7
