2110099	2113376	344613	347896	chr4_1_4500000	ptg000001l	95.16		True
2111166	2113386	524666	526886	chr4_1_4500000	ptg000001l	95.24		True
2111518	2113372	669497	671357	chr4_1_4500000	ptg000001l	95.43		True
2109997	2113382	824178	820772	chr4_1_4500000	ptg000001l	95.04		True
2109997	2113099	1120664	1117555	chr4_1_4500000	ptg000001l	95.82		True
2111356	2113391	78934	76896	chr4_1_4500000	ptg000002l	95.4		True
2109997	2113385	96293	92906	chr4_1_4500000	ptg000002l	95.26		True
3539073	3539678	196021	195417	chr4_1_4500000	ptg000003l	97.19		True
3537851	3538396	197236	196687	chr4_1_4500000	ptg000003l	97.82		True
2112297	2113397	352352	351257	chr4_1_4500000	ptg000003l	95.56		True
2110667	2113092	697275	699696	chr4_1_4500000	ptg000003l	95.07		True
2109995	2112883	980941	978064	chr4_1_4500000	ptg000003l	95.27		True
4102961	4103501	41460	42000	chr4_1_4500000	ptg000004l	96.12		True
4104671	4105212	43170	43711	chr4_1_4500000	ptg000004l	96.68		True
4104409	4105214	49902	50707	chr4_1_4500000	ptg000004l	96.28		True
4112945	4113884	57575	58514	chr4_1_4500000	ptg000004l	95.53		True
4116391	4117499	60700	61809	chr4_1_4500000	ptg000004l	95.5		True
2111530	2112848	63462	64782	chr4_1_4500000	ptg000006l	95.7		True
2111165	2113394	253904	251669	chr4_1_4500000	ptg000006l	95.53		True
2111397	2113394	304924	306924	chr4_1_4500000	ptg000006l	96.2		True
2110556	2111887	504828	506159	chr4_1_4500000	ptg000006l	95.65		True
2112540	2113099	507137	507696	chr4_1_4500000	ptg000006l	96.96		True
2109997	2113083	573096	576184	chr4_1_4500000	ptg000006l	95.35		True
2111191	2113394	144240	146442	chr4_1_4500000	ptg000007l	95.16		True
2111989	2113384	202548	203944	chr4_1_4500000	ptg000007l	95.2		True
2109997	2113099	274737	277838	chr4_1_4500000	ptg000007l	95.31		True
2111549	2113181	289845	291483	chr4_1_4500000	ptg000007l	96.1		True
2111911	2112723	463568	464381	chr4_1_4500000	ptg000007l	96.44		True
2111623	2112417	32922	32122	chr4_1_4500000	ptg000009l	96.13		True
2111547	2112851	173256	174561	chr4_1_4500000	ptg000010l	95.58		True
2109996	2113381	470822	474223	chr4_1_4500000	ptg000010l	95.16		True
2110010	2113388	227905	231288	chr4_1_4500000	ptg000011l	95.05		True
2110561	2113055	298409	295904	chr4_1_4500000	ptg000011l	95.18		True
2111829	2112901	446981	445903	chr4_1_4500000	ptg000011l	96.29		True
2111192	2111886	470732	471426	chr4_1_4500000	ptg000011l	95.97		True
